"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007389","BP","GO:0007389","pattern specification process","26/434","446/18670",1.81551212732203e-05,1.81551212732203e-05,0.0378746475414721,"SCMH1/FGFR1/ZBTB16/MYF6/CDX1/HES1/BMP4/HOXD3/HOXD9/FOXA1/DMRTA2/TBC1D32/ALX3/SSBP3/SPRY1/TBXT/DCHS1/CCDC103/AXIN2/HOXD4/HOXC9/NEUROG1/NKX2-5/NOG/SYNGAP1/TDGF1P3",26
"GO:0003002","BP","GO:0003002","regionalization","22/434","351/18670",2.70417379015573e-05,2.70417379015573e-05,0.0378746475414721,"SCMH1/FGFR1/ZBTB16/MYF6/CDX1/HES1/BMP4/HOXD3/HOXD9/FOXA1/DMRTA2/TBC1D32/SSBP3/SPRY1/TBXT/AXIN2/HOXD4/HOXC9/NEUROG1/NKX2-5/NOG/TDGF1P3",22
"GO:0006590","BP","GO:0006590","thyroid hormone generation","5/434","17/18670",3.25815712324767e-05,3.25815712324767e-05,0.0378746475414721,"HPN/DUOX1/DUOXA2/DIO2/DIO1",5
"GO:0009952","BP","GO:0009952","anterior/posterior pattern specification","16/434","219/18670",5.66978930305353e-05,5.66978930305353e-05,0.0494316104237272,"SCMH1/ZBTB16/MYF6/CDX1/HES1/BMP4/HOXD3/HOXD9/SSBP3/TBXT/AXIN2/HOXD4/HOXC9/NEUROG1/NOG/TDGF1P3",16
"GO:0042403","BP","GO:0042403","thyroid hormone metabolic process","5/434","21/18670",9.92225179522294e-05,9.92225179522294e-05,0.0692050951527865,"HPN/DUOX1/DUOXA2/DIO2/DIO1",5
"GO:0048705","BP","GO:0048705","skeletal system morphogenesis","16/434","239/18670",0.00015792094883136,0.00015792094883136,0.0917880883295254,"FGFR1/SIX4/FGF6/CDX1/TBX4/BMP4/HOXD3/HOXD9/ALX3/TBXT/AXIN2/HOXD4/HOXC9/NEUROG1/NOG/PAX5",16
"GO:0060037","BP","GO:0060037","pharyngeal system development","5/434","26/18670",0.000291455642364492,0.000291455642364492,0.136296364673042,"SIX4/HES1/BMP4/NKX2-5/NOG",5
"GO:0048704","BP","GO:0048704","embryonic skeletal system morphogenesis","9/434","93/18670",0.000312662955482982,0.000312662955482982,0.136296364673042,"SIX4/BMP4/HOXD3/HOXD9/ALX3/HOXD4/HOXC9/NOG/PAX5",9
"GO:0048562","BP","GO:0048562","embryonic organ morphogenesis","17/434","288/18670",0.000438858916452172,0.000438858916452172,0.15846556810992,"DLX6/FGFR1/SIX4/HPN/HES1/BMP4/HOXD3/HOXD9/ALX3/TBXT/CCDC103/HOXD4/HOXC9/NEUROG1/NKX2-5/NOG/PAX5",17
"GO:0001823","BP","GO:0001823","mesonephros development","9/434","102/18670",0.00061995341435635,0.00061995341435635,0.15846556810992,"FGFR1/SIX4/ZBTB16/HES1/BMP4/ADAMTS16/SPRY1/DCHS1/NOG",9
"GO:0055123","BP","GO:0055123","digestive system development","11/434","146/18670",0.000621645945133391,0.000621645945133391,0.15846556810992,"RARRES2/CCKBR/HES1/BMP4/HIP1R/GATA6/KIT/DCHS1/CCDC103/PTF1A/FOXL1",11
"GO:0045165","BP","GO:0045165","cell fate commitment","16/434","271/18670",0.000639535493565561,0.000639535493565561,0.15846556810992,"FGFR1/MYF6/HES1/TBX4/MYOG/NEUROD4/BMP4/FOXA1/GATA6/DMRTA2/SLAMF6/TBXT/PTF1A/OLIG3/NEUROG1/NKX2-5",16
"GO:0030326","BP","GO:0030326","embryonic limb morphogenesis","10/434","125/18670",0.000683183804943323,0.000683183804943323,0.15846556810992,"DLX6/FGFR1/ZBTB16/TBX4/BMP4/HOXD9/TBC1D32/CACNA1C/ALX3/NOG",10
"GO:0035113","BP","GO:0035113","embryonic appendage morphogenesis","10/434","125/18670",0.000683183804943323,0.000683183804943323,0.15846556810992,"DLX6/FGFR1/ZBTB16/TBX4/BMP4/HOXD9/TBC1D32/CACNA1C/ALX3/NOG",10
"GO:0048645","BP","GO:0048645","animal organ formation","7/434","64/18670",0.000692901368516898,0.000692901368516898,0.15846556810992,"FGFR1/HES1/BMP4/GATA6/SPRY1/AXIN2/NOG",7
"GO:0048706","BP","GO:0048706","embryonic skeletal system development","10/434","126/18670",0.000727037921904855,0.000727037921904855,0.15846556810992,"SIX4/BMP4/HOXD3/HOXD9/ALX3/TBXT/HOXD4/HOXC9/NOG/PAX5",10
"GO:0030858","BP","GO:0030858","positive regulation of epithelial cell differentiation","7/434","67/18670",0.000913921632558191,0.000913921632558191,0.187481261217665,"MACROH2A1/BMP4/IL20/ADIPOQ/MIR199B/MIR200C/GDF2",7
"GO:0008083","MF","GO:0008083","growth factor activity","13/419","163/17696",0.000138565578037545,0.000138565578037545,0.0500464575706837,"FGF6/ENDOU/CCN6/BMP4/PSPN/FGF5/GDF6/IL34/CD320/CSHL1/CSH2/TDGF1P3/GDF2",13
"GO:0008236","MF","GO:0008236","serine-type peptidase activity","13/419","182/17696",0.000408936559409803,0.000408936559409803,0.0500464575706837,"F11/TPSD1/ACR/F9/RHBDL1/PLAT/HPN/ENDOU/TMPRSS15/PRSS42P/TPSB2/TMPRSS11F/PRSS46P",13
"GO:0004252","MF","GO:0004252","serine-type endopeptidase activity","12/419","160/17696",0.000436442608463138,0.000436442608463138,0.0500464575706837,"F11/TPSD1/ACR/F9/RHBDL1/PLAT/HPN/TMPRSS15/PRSS42P/TPSB2/TMPRSS11F/PRSS46P",12
"GO:0016825","MF","GO:0016825","hydrolase activity, acting on acid phosphorus-nitrogen bonds","13/419","186/17696",0.000503199780985326,0.000503199780985326,0.0500464575706837,"F11/TPSD1/ACR/F9/RHBDL1/PLAT/HPN/ENDOU/TMPRSS15/PRSS42P/TPSB2/TMPRSS11F/PRSS46P",13
"GO:0017171","MF","GO:0017171","serine hydrolase activity","13/419","186/17696",0.000503199780985326,0.000503199780985326,0.0500464575706837,"F11/TPSD1/ACR/F9/RHBDL1/PLAT/HPN/ENDOU/TMPRSS15/PRSS42P/TPSB2/TMPRSS11F/PRSS46P",13
"GO:0048018","MF","GO:0048018","receptor ligand activity","24/419","482/17696",0.000531917188307264,0.000531917188307264,0.0500464575706837,"CCL8/FGF6/ENDOU/CCN6/BMP4/PSPN/FSHB/FGF5/VIP/GDF6/IL34/IL20/UCN/CD320/C1QTNF4/ADIPOQ/CCK/CSHL1/CSH2/TDGF1P3/CORT/INSL3/GDF2/CCL15",24
"GO:0030546","MF","GO:0030546","signaling receptor activator activity","24/419","487/17696",0.000615173646663672,0.000615173646663672,0.0500464575706837,"CCL8/FGF6/ENDOU/CCN6/BMP4/PSPN/FSHB/FGF5/VIP/GDF6/IL34/IL20/UCN/CD320/C1QTNF4/ADIPOQ/CCK/CSHL1/CSH2/TDGF1P3/CORT/INSL3/GDF2/CCL15",24
"GO:0004890","MF","GO:0004890","GABA-A receptor activity","4/419","19/17696",0.000905543260163731,0.000905543260163731,0.0644603820721814,"GABRP/GABRG2/GABRA6/GABRR1",4
"GO:0016917","MF","GO:0016917","GABA receptor activity","4/419","22/17696",0.00161572523027613,0.00161572523027613,0.102234777728583,"GABRP/GABRG2/GABRA6/GABRR1",4
"GO:0005179","MF","GO:0005179","hormone activity","9/419","122/17696",0.00248483370412645,0.00248483370412645,0.141504740413938,"FSHB/VIP/UCN/ADIPOQ/CCK/CSHL1/CSH2/CORT/INSL3",9
