"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043414","BP","GO:0043414","macromolecule methylation","80/2885","309/18670",1.2624455845305e-06,1.2624455845305e-06,0.0077488909978482,"KDM1A/TRMT11/METTL22/MOV10L1/RIF1/GRHL2/ATRX/DIMT1/SIRT1/PRORP/RNMT/CTCF/SETD6/FBL/GATA3/TRDMT1/KMT5B/HEMK1/CHD5/RBBP5/KMT2A/DNMT3A/TRMT1L/PIK3CA/MTERF4/TRMT13/ZC3H13/EEF1AKMT3/METTL8/TRMT5/METTL16/ZNF304/SETDB2/MYC/TGS1/ALKBH8/TET1/ETFBKMT/METTL21C/SMAD4/DNMT3L/MTF2/SETDB1/SMYD2/METTL14/PRDM14/SUV39H2/ASZ1/TRMT44/N6AMT1/AUTS2/HENMT1/PRMT9/VIRMA/TRMT10B/SETD5/ZCCHC4/PCMTD1/METTL15/SETMAR/FAM98B/ATF7IP/BEND3/NSUN3/H1-8/CMTR2/EHMT1/WT1/SMYD3/KPNA7/KDM4D/BCDIN3D/EZHIP/MPHOSPH8/PIWIL2/CTR9/EEF1AKMT2/PCMTD2/METTL6/NSUN6",80
"GO:0001510","BP","GO:0001510","RNA methylation","27/2885","81/18670",4.94081121071443e-05,4.94081121071443e-05,0.109364867854491,"TRMT11/DIMT1/PRORP/RNMT/FBL/TRDMT1/TRMT1L/MTERF4/TRMT13/ZC3H13/METTL8/TRMT5/METTL16/TGS1/ALKBH8/METTL14/TRMT44/HENMT1/VIRMA/TRMT10B/ZCCHC4/METTL15/NSUN3/CMTR2/BCDIN3D/METTL6/NSUN6",27
"GO:0032259","BP","GO:0032259","methylation","85/2885","366/18670",5.34530145916379e-05,5.34530145916379e-05,0.109364867854491,"KDM1A/PRDM11/TRMT11/METTL22/MOV10L1/RIF1/GRHL2/ATRX/DIMT1/SIRT1/PRORP/RNMT/CTCF/SETD6/FBL/GATA3/TRDMT1/KMT5B/HEMK1/CHD5/RBBP5/KMT2A/DNMT3A/TRMT1L/PIK3CA/MTERF4/TRMT13/ZC3H13/EEF1AKMT3/METTL8/TRMT5/METTL16/ZNF304/RRP8/SETDB2/MYC/TGS1/ALKBH8/TET1/ETFBKMT/METTL21C/SMAD4/PRDM15/DNMT3L/MTF2/SETDB1/SMYD2/METTL14/PRDM14/SUV39H2/ASZ1/TRMT44/N6AMT1/AUTS2/HENMT1/PRMT9/VIRMA/TRMT10B/SETD5/ZCCHC4/PCMTD1/METTL15/SETMAR/FAM98B/ATF7IP/METTL18/BEND3/NSUN3/H1-8/CMTR2/EHMT1/LRTOMT/WT1/SMYD3/KPNA7/KDM4D/BCDIN3D/EZHIP/MPHOSPH8/PIWIL2/CTR9/EEF1AKMT2/PCMTD2/METTL6/NSUN6",85
"GO:0009451","BP","GO:0009451","RNA modification","44/2885","163/18670",0.000104045305586849,0.000104045305586849,0.157740722132011,"TRMT11/DIMT1/OSGEP/ALKBH1/PRORP/RNMT/FBL/TRDMT1/GAR1/APOBEC1/TRMT1L/MTERF4/TRMT13/ZC3H13/METTL8/TRMT5/METTL16/APOBEC3F/OSGEPL1/PUS7L/NAT10/TGS1/ALKBH8/METTL14/NAF1/CDKAL1/TRMT44/RPUSD3/HENMT1/VIRMA/TRMT10B/RPUSD4/TRUB1/ALKBH3/ZCCHC4/METTL15/NSUN3/CMTR2/ADARB2/BCDIN3D/METTL6/APOBEC3G/NSUN6/APOBEC3D",44
"GO:0044728","BP","GO:0044728","DNA methylation or demethylation","29/2885","94/18670",0.000128495211902909,0.000128495211902909,0.157740722132011,"MOV10L1/GRHL2/ATRX/ALKBH1/APEX1/CTCF/GATA3/APOBEC1/HEMK1/KMT2A/DNMT3A/PIK3CA/APOBEC3F/MYC/TET1/DNMT3L/PRDM14/ASZ1/N6AMT1/ALKBH3/ATF7IP/BEND3/H1-8/EHMT1/WT1/MPHOSPH8/PIWIL2/APOBEC3G/APOBEC3D",29
"GO:0006614","BP","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","31/2885","105/18670",0.00018808465584163,0.00018808465584163,0.192410602925988,"SEC61A2/TRAM1/RPS5/RPLP0/RPS19/RPL34/RPS12/RPL22/RPS25/RPS10/RPS15A/RPL35/RPS6/RPS11/RPL32/RPS3A/RPL37/RPS3/RPL30/RPL9/RPL38/RPS27/RPS17/RPL35A/RPS4X/RPL23A/RPS29/RPL41/RPS28/BHLHE40-AS1/RPL17",31
"GO:0042101","CC","GO:0042101","T cell receptor complex","58/3021","127/19717",4.12677764283031e-16,4.12677764283031e-16,2.91763179348103e-13,"CEACAM1/ZAP70/SKAP1/CD8A/TRAT1/CD3D/CD3E/TRBV6-1/TRBV6-4/TRBV10-1/TRBV11-1/TRBV6-5/TRBV6-6/TRBV5-5/TRBV7-6/TRBV5-6/TRBV4-2/TRBV20-1/TRBV24-1/TRBC1/TRBV27/TRBV28/TRBC2/TRAV4/TRAV10/TRAV12-1/TRAV13-2/TRAV9-2/TRAV12-3/TRAV8-6/TRAV16/TRAV17/TRAV18/TRAV21/TRAV24/TRAV25/TRAV26-1/TRAV27/TRAV29DV5/TRAV26-2/TRAV34/TRAV35/TRAV40/TRAV41/TRBV10-2/TRBV5-4/TRBV11-2/TRBV7-7/TRBV6-8/TRAV30/TRBV12-3/TRBV12-5/TRBV16/TRBV14/TRBV11-3/TRBV12-4/TRAC/TRBV7-9",58
"GO:0098802","CC","GO:0098802","plasma membrane signaling receptor complex","78/3021","295/19717",5.0430711935168e-07,5.0430711935168e-07,0.000178272566690819,"CALCR/CACNG5/CEACAM1/TRAF5/ITGA6/IKBKB/OLFM2/GRIK5/ZAP70/ITGA4/IL18R1/RAMP1/GABBR2/SKAP1/ITGA9/CHRNB3/CD8A/CHRNB2/TRAT1/STXBP5/CD3D/NLGN1/VWC2L/CD3E/TRBV6-1/TRBV6-4/TRBV10-1/TRBV11-1/TRBV6-5/TRBV6-6/TRBV5-5/TRBV7-6/TRBV5-6/TRBV4-2/TRBV20-1/TRBV24-1/TRBC1/TRBV27/TRBV28/TRBC2/TRAV4/TRAV10/TRAV12-1/TRAV13-2/TRAV9-2/TRAV12-3/TRAV8-6/TRAV16/TRAV17/TRAV18/TRAV21/TRAV24/TRAV25/TRAV26-1/TRAV27/TRAV29DV5/TRAV26-2/TRAV34/TRAV35/TRAV40/TRAV41/SYNJ2BP/TRBV10-2/TRBV5-4/TRBV11-2/SHANK3/TRBV7-7/TRBV6-8/TRAV30/GRIN2B/TRBV12-3/TRBV12-5/TRBV16/TRBV14/TRBV11-3/TRBV12-4/TRAC/TRBV7-9",78
"GO:0022626","CC","GO:0022626","cytosolic ribosome","35/3021","112/19717",1.67175978452644e-05,1.67175978452644e-05,0.00393978055886731,"EIF2AK2/NUFIP1/RPS5/RPLP0/RPS19/RPL34/RPS12/RPL22/RPS25/RPS10/RPS15A/RPL35/RPS6/RPS11/EIF2D/RPL32/RPS3A/RPL37/RPS3/RPL30/RPL9/MRPL1/RPL38/RPL13AP3/RPS27/RPS17/RPL35A/RPS4X/RPL23A/RPLP0P6/RPS29/RPL39P5/RPL41/RPS28/RPL17",35
"GO:0022627","CC","GO:0022627","cytosolic small ribosomal subunit","16/3021","44/19717",0.000504721826588901,0.000504721826588901,0.0892095828495883,"RPS5/RPS19/RPS12/RPS25/RPS10/RPS15A/RPS6/RPS11/EIF2D/RPS3A/RPS3/RPS27/RPS17/RPS4X/RPS29/RPS28",16
