"","gene_names","ID","CpG_logFC","Gene_logFC","AveExpr","P.Value"
"1","ABCG2","4_89150699",NA,-2.1053608159301,0.00475727801066317,0.0293785456206466
"2","ACTA2-AS1","10_90691239",NA,-2.02834462828504,1.13237846040886,0.00014136834192119
"3","ADAMDEC1","8_24238062",-0.355440220137766,2.92866168034315,-0.945717753108639,0.000563596072046149
"4","ADIPOQ","3_186559823",NA,-1.64675212354705,-3.87129175615463,0.0349103489772952
"5","AEBP1","7_44139252",NA,-2.67208531727878,4.35510172831022,0.0053835233222351
"6","AIFM3","22_21317189",0.385435224511655,1.68455926908129,3.13389596895777,0.00303352041389522
"7","AIFM3","22_21317189",0.334070531969231,1.68455926908129,3.13389596895777,0.00303352041389522
"8","AIFM3","22_21317189",0.348995010503199,1.68455926908129,3.13389596895777,0.00303352041389522
"9","AIFM3","22_21317189",0.325328450274897,1.68455926908129,3.13389596895777,0.00303352041389522
"10","ALOX12B","17_7977175",NA,-1.68883826335251,-1.53393520386149,0.0345354063828723
"11","ANKRD63","15_40566825",NA,-2.33778138295277,0.0533400930070998,0.00284963483975852
"12","APP","21_27540932",NA,-3.69555125744349,6.37732468125215,0.0176517862021302
"13","ARL4C","2_235397099",-0.312135881797241,-1.81195317175588,4.54544901739099,0.00381456026500165
"14","ARTN","1_44395544",-0.329109537811092,1.94701110270044,2.58222212544117,0.0100803891371182
"15","BAALC","8_104150328",NA,-5.13377391258378,4.57162566616846,0.0275170768082611
"16","BIVM","13_103459517",NA,-1.5074155238163,4.22492317345926,0.026960777339096
"17","CACNB4","2_152951975",0.303786946683546,-1.72328921438903,3.8700222241596,0.0499335853902892
"18","CAMK1D","10_12385400",NA,-1.63827960353062,5.5957568512658,0.0333794136013043
"19","CAPG","2_85641313",NA,2.1352496322687,5.88184100493098,0.000707892040232845
"20","CBX2","17_77748700",NA,-2.99642730938183,5.10179693503264,0.00111238041333074
"21","CCDC60","12_119771541",-0.314442511889786,-1.96881838655413,-2.15284726702037,0.00804090290763337
"22","CCL23","17_34342694",-0.363981098319073,4.52452175002295,-0.022441302937308,1.15111205319026e-07
"23","CD2","1_117292351",NA,-2.08393489614828,3.34746251693931,0.00304076592056594
"24","CD200","3_112050928",0.478708788603751,-5.44327687802341,4.26019332871275,0.00240326490405716
"25","CD34","1_208081978",0.418405243833471,-7.10568431100489,7.26018491701275,0.0164785778636986
"26","CD34","1_208081978",0.514977852201331,-7.10568431100489,7.26018491701275,0.0164785778636986
"27","CD34","1_208081978",0.458344516720453,-7.10568431100489,7.26018491701275,0.0164785778636986
"28","CD34","1_208081978",0.329742894379072,-7.10568431100489,7.26018491701275,0.0164785778636986
"29","CD34","1_208081978",0.495294918442367,-7.10568431100489,7.26018491701275,0.0164785778636986
"30","CD34","1_208081978",0.574258763452328,-7.10568431100489,7.26018491701275,0.0164785778636986
"31","CD34","1_208081978",0.628701794465597,-7.10568431100489,7.26018491701275,0.0164785778636986
"32","CD34","1_208081978",0.482347239459514,-7.10568431100489,7.26018491701275,0.0164785778636986
"33","CD69","12_9911472",NA,-2.34122616012327,6.56898925584518,0.00773538275454335
"34","CDK15","2_202650409",NA,-2.31031327578396,-0.466806261195466,0.0441317951918448
"35","CELF3","1_151672272",NA,-1.57630581727337,-2.87536721121999,0.00885518404710087
"36","CELF3","1_151687246",-0.353498444031965,-1.57630581727337,-2.87536721121999,0.00885518404710087
"37","CHD5","1_6220817",-0.305699611218587,-1.99369006770101,1.07653632374422,0.0288604166911915
"38","COPZ2","17_46109003",NA,1.8807696910073,-0.515441076874107,0.00480366506259487
"39","CPB1","3_148507471",NA,-1.95448480619928,-2.3722143260852,0.0211665428819241
"40","CRIM1","2_36577978",NA,-1.54842796608587,4.73933600385392,0.0137491829403845
"41","CRISPLD2","16_84846226",-0.311843698845727,2.77036463601273,3.1372064266337,0.000163550251396884
"42","CRNDE","16_54961772",NA,1.62025741133409,2.395062296818,0.0435677958398695
"43","CSTA","3_122040029",-0.431392879231276,1.97725813008824,3.80168369741363,0.0098116261291412
"44","CSTA","3_122040029",-0.344531296469796,1.97725813008824,3.80168369741363,0.0098116261291412
"45","CTDSPL","3_37889807",NA,-1.88762682084852,4.30163783907945,0.0215895465615724
"46","DEGS2","14_100621624",NA,-1.74671189931172,2.50520178209684,0.00427917102032392
"47","DSE","6_116573907",NA,-2.17405163973599,4.96910013960948,0.000638134699892394
"48","DSE","6_116596008",NA,-2.17405163973599,4.96910013960948,0.000638134699892394
"49","DTNA","18_32073060",-0.39853770198334,3.10362249134362,0.443393530618958,0.00485294254701479
"50","DTNA","18_32392811",NA,3.10362249134362,0.443393530618958,0.00485294254701479
"51","DYRK3","1_206808181",NA,-1.81377801314735,3.52307814097047,0.00324554670161561
"52","ENKUR","10_25303478",NA,-2.42088047326768,-2.05682054704962,0.000384915504463843
"53","F3","1_95006048",NA,1.68412978812332,0.0985442536390371,0.0394828506049543
"54","FAM167A","8_11330802",NA,-2.14209575938917,-0.494586976585483,0.0246217403749173
"55","FCAMR","1_207142387",-0.306674804669745,1.72526368031895,-3.84327549567096,0.019974845116464
"56","FRAT1","10_99075665",NA,1.85232976063651,4.17436823991339,4.2937462217685e-09
"57","FUT1","19_49253355",NA,-2.4797181117251,0.331745200056133,0.0168852942520626
