"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002283","BP","GO:0002283","neutrophil activation involved in immune response","143/1355","488/18670",3.87236219603935e-50,3.87236219603935e-50,1.57269100783587e-46,"FUCA2/ALDH3B1/PSMB1/PLAUR/TYROBP/MVP/DNASE1L1/CAPN1/SLC11A1/GRN/HEXB/CYBA/HEBP2/CTSA/PKM/RHOA/ATP11A/KCNAB2/RAB27A/AP1M1/STXBP2/TOLLIP/B4GALT1/FTL/LYZ/ADA2/RAB18/SNAP29/TOM1/ARSA/CTSG/DNAJC5/CTSZ/SIRPB1/CST3/VAPA/GLA/DNAJC3/PSMD7/CRISPLD2/CPPED1/PYCARD/CTSH/ASAH1/MAN2B1/RAB3D/IMPDH1/P2RX1/RAB5C/VAT1/BST1/COMMD9/TCIRG1/PTPN6/TMEM30A/QSOX1/LAMTOR2/CTSD/MMP8/NPC2/APAF1/CAT/ADGRE5/NCKAP1L/RAP2C/CD93/CD68/SIGLEC9/CAP1/LGALS3/OSTF1/CD63/GNS/RAC1/DBNL/TLR2/ACTR2/IDH1/ITGAX/GALNS/CD53/CREG1/DEGS1/ARL8A/ALAD/SURF4/PTPRJ/ALDOA/LPCAT1/CDA/FCER1G/ABR/ITGB2/HK3/ARPC5/NCSTN/S100A11/GYG1/PRKCD/BRI3/CTSB/SYK/CYBB/GHDC/RNASE2/RNASE3/PTAFR/ITGAM/GUSB/TRAPPC1/GLB1/CD14/LRG1/GAA/PGAM1/C3AR1/AZU1/SLCO4C1/PSMD2/DPP7/RHOG/ANO6/ARHGAP45/ATP6AP2/ANXA2/MCEMP1/STING1/METTL7A/ATP6V0C/LAMP1/GM2A/IGF2R/SERPINA1/ATG7/PSAP/SIRPA/NEU1/NFAM1/LILRA2/PLEKHO2/SERPINB10/SIGLEC14/MGAM",143
"GO:0043312","BP","GO:0043312","neutrophil degranulation","142/1355","485/18670",9.79572390136218e-50,9.79572390136218e-50,1.57269100783587e-46,"FUCA2/ALDH3B1/PSMB1/PLAUR/TYROBP/MVP/DNASE1L1/CAPN1/SLC11A1/GRN/HEXB/CYBA/HEBP2/CTSA/PKM/RHOA/ATP11A/KCNAB2/RAB27A/AP1M1/STXBP2/TOLLIP/B4GALT1/FTL/LYZ/ADA2/RAB18/SNAP29/TOM1/ARSA/CTSG/DNAJC5/CTSZ/SIRPB1/CST3/VAPA/GLA/DNAJC3/PSMD7/CRISPLD2/CPPED1/PYCARD/CTSH/ASAH1/MAN2B1/RAB3D/IMPDH1/P2RX1/RAB5C/VAT1/BST1/COMMD9/TCIRG1/PTPN6/TMEM30A/QSOX1/LAMTOR2/CTSD/MMP8/NPC2/APAF1/CAT/ADGRE5/NCKAP1L/RAP2C/CD93/CD68/SIGLEC9/CAP1/LGALS3/OSTF1/CD63/GNS/RAC1/DBNL/TLR2/ACTR2/IDH1/ITGAX/GALNS/CD53/CREG1/DEGS1/ARL8A/ALAD/SURF4/PTPRJ/ALDOA/LPCAT1/CDA/FCER1G/ABR/ITGB2/HK3/ARPC5/NCSTN/S100A11/GYG1/PRKCD/BRI3/CTSB/SYK/CYBB/GHDC/RNASE2/RNASE3/PTAFR/ITGAM/GUSB/TRAPPC1/GLB1/CD14/LRG1/GAA/PGAM1/C3AR1/AZU1/SLCO4C1/PSMD2/DPP7/RHOG/ANO6/ARHGAP45/ATP6AP2/ANXA2/MCEMP1/STING1/METTL7A/ATP6V0C/LAMP1/GM2A/IGF2R/SERPINA1/ATG7/PSAP/SIRPA/NEU1/NFAM1/PLEKHO2/SERPINB10/SIGLEC14/MGAM",142
"GO:0042119","BP","GO:0042119","neutrophil activation","144/1355","498/18670",1.05185435064443e-49,1.05185435064443e-49,1.57269100783587e-46,"FUCA2/ALDH3B1/PSMB1/PLAUR/TYROBP/MVP/DNASE1L1/CAPN1/SLC11A1/GRN/HEXB/CYBA/HEBP2/CTSA/PKM/RHOA/ATP11A/KCNAB2/RAB27A/AP1M1/STXBP2/TOLLIP/B4GALT1/FTL/LYZ/ADA2/RAB18/SNAP29/TOM1/ARSA/CTSG/DNAJC5/CTSZ/SIRPB1/CST3/VAPA/GLA/DNAJC3/PSMD7/CRISPLD2/CPPED1/PYCARD/CTSH/ASAH1/MAN2B1/RAB3D/IMPDH1/P2RX1/RAB5C/VAT1/BST1/COMMD9/TCIRG1/PTPN6/TMEM30A/QSOX1/LAMTOR2/CTSD/MMP8/NPC2/APAF1/CAT/ADGRE5/NCKAP1L/RAP2C/PREX1/CD93/CD68/SIGLEC9/CAP1/LGALS3/OSTF1/CD63/GNS/RAC1/DBNL/TLR2/ACTR2/IDH1/ITGAX/GALNS/CD53/CREG1/DEGS1/ARL8A/ALAD/SURF4/PTPRJ/ALDOA/LPCAT1/CDA/FCER1G/ABR/ITGB2/HK3/ARPC5/NCSTN/S100A11/GYG1/PRKCD/BRI3/CTSB/SYK/CYBB/GHDC/RNASE2/RNASE3/PTAFR/ITGAM/GUSB/TRAPPC1/GLB1/CD14/LRG1/GAA/PGAM1/C3AR1/AZU1/SLCO4C1/PSMD2/DPP7/RHOG/ANO6/ARHGAP45/ATP6AP2/ANXA2/MCEMP1/STING1/METTL7A/ATP6V0C/LAMP1/GM2A/IGF2R/SERPINA1/ATG7/PSAP/SIRPA/NEU1/NFAM1/LILRA2/PLEKHO2/SERPINB10/SIGLEC14/MGAM",144
"GO:0002446","BP","GO:0002446","neutrophil mediated immunity","144/1355","499/18670",1.38082851889471e-49,1.38082851889471e-49,1.57269100783587e-46,"FUCA2/ALDH3B1/PSMB1/PLAUR/TYROBP/MVP/DNASE1L1/CAPN1/SLC11A1/GRN/HEXB/CYBA/HEBP2/CTSA/PKM/RHOA/ATP11A/KCNAB2/RAB27A/WDR1/AP1M1/STXBP2/TOLLIP/B4GALT1/FTL/LYZ/ADA2/RAB18/SNAP29/TOM1/ARSA/CTSG/DNAJC5/CTSZ/SIRPB1/CST3/VAPA/GLA/DNAJC3/PSMD7/CRISPLD2/CPPED1/PYCARD/CTSH/ASAH1/MAN2B1/RAB3D/IMPDH1/P2RX1/RAB5C/VAT1/BST1/COMMD9/TCIRG1/PTPN6/TMEM30A/QSOX1/LAMTOR2/CTSD/MMP8/NPC2/APAF1/CAT/ADGRE5/NCKAP1L/RAP2C/CD93/CD68/SIGLEC9/CAP1/LGALS3/OSTF1/CD63/GNS/RAC1/DBNL/TLR2/ACTR2/IDH1/ITGAX/GALNS/CD53/CREG1/DEGS1/ARL8A/ALAD/SURF4/PTPRJ/ALDOA/ADAM17/LPCAT1/CDA/FCER1G/ABR/ITGB2/HK3/ARPC5/NCSTN/S100A11/GYG1/PRKCD/BRI3/CTSB/SYK/CYBB/GHDC/RNASE2/RNASE3/PTAFR/ITGAM/GUSB/TRAPPC1/GLB1/CD14/LRG1/GAA/PGAM1/C3AR1/AZU1/SLCO4C1/PSMD2/DPP7/RHOG/ANO6/ARHGAP45/ATP6AP2/ANXA2/MCEMP1/STING1/METTL7A/ATP6V0C/LAMP1/GM2A/IGF2R/SERPINA1/ATG7/PSAP/SIRPA/NEU1/NFAM1/PLEKHO2/SERPINB10/SIGLEC14/MGAM",144
"GO:1901136","BP","GO:1901136","carbohydrate derivative catabolic process","44/1355","192/18670",5.27549707150875e-12,5.27549707150875e-12,4.80681080536629e-09,"FUCA2/UPP2/TYMP/VCAN/HEXB/ADA2/UPB1/APOBEC3H/SAMHD1/CST3/AHCY/ABCD1/RENBP/GLA/TGFB1/NAGLU/PDE4D/SDC4/EDEM1/GNS/NPL/AOAH/NUDT7/GALNS/GPC3/GPD1L/CDA/AMDHD2/PRKCD/SDC2/GUSB/GLB1/CSPG4/GBA/APOBEC3B/SGSH/UPP1/HYAL3/CHP1/GM2A/PSAP/NUDT16/NEU1/NUDT18",44
"GO:0008154","BP","GO:0008154","actin polymerization or depolymerization","45/1355","209/18670",2.91000246565045e-11,2.91000246565045e-11,2.2095597669009e-08,"GAS7/CAPG/RHOA/WDR1/CAPZB/SH3BP1/PICK1/HCK/CORO1A/PYCARD/MTPN/PFN1/ARPC3/ACTR3/PLEK/CAPZA1/PTK2B/NCKAP1L/PREX1/ARPC1B/CAP1/SPIRE1/MICAL1/VILL/RAC1/DBNL/ACTR2/PSTPIP1/ARF1/PSTPIP2/CATIP/ARPC5/CDC42EP3/ARPC2/PRKCD/ARF6/CFL1/GRB2/HCLS1/CAPZA2/TMSB4X/ARPC4/ARPC1A/TWF2/CORO7",45
"GO:0044282","BP","GO:0044282","small molecule catabolic process","70/1355","445/18670",5.99588560358739e-10,5.99588560358739e-10,3.52933406909237e-07,"ALDH3B1/UPP2/TYMP/HEXB/PKM/ALDH3A2/HSD17B10/ACADVL/ENO1/TIGAR/HAL/HADHA/ADA2/CRAT/UPB1/APOBEC3H/AHCY/ACOT8/ABCD1/RENBP/PGK1/PLA2G15/BCKDK/IL4I1/TGFB1/OGDH/PHYH/GALK1/GAPDH/TPI1/SNX17/SCP2/OCRL/MTRR/HSD17B4/NPL/SDSL/NUDT7/AKT1/PGD/PCYOX1L/TKFC/ALDOA/HNMT/INPP1/HPD/CDA/ADPGK/ALDH4A1/HK3/AMDHD2/ASRGL1/CRYL1/PCBD1/SLC27A4/ACOX2/GUSB/GLB1/RBKS/PGAM1/SULT1B1/SHMT1/APOBEC3B/UPP1/IRS2/HYAL3/CHP1/FUT4/NUDT16/NUDT18",70
"GO:0007015","BP","GO:0007015","actin filament organization","65/1355","400/18670",6.38572576472576e-10,6.38572576472576e-10,3.52933406909237e-07,"GAS7/CAPG/RHOA/CDC42/WDR1/ARHGEF10L/CAPZB/SH3BP1/PICK1/HCK/CORO1A/PYCARD/MTPN/LIMK1/PFN1/ARPC3/ACTR3/PLEK/CAPZA1/PROX1/RHOQ/PTK2B/NCKAP1L/PREX1/SDC4/HIP1/CGNL1/ACTN4/ARPC1B/CAP1/SPIRE1/MICAL1/VILL/LCP1/RAC1/DBNL/ACTR2/PSTPIP1/TPM3/ARF1/SH3KBP1/ALDOA/PSTPIP2/CATIP/ZYX/ARPC5/CDC42EP3/ARPC2/PRKCD/ARF6/CFL1/RHOG/GRB2/HCLS1/RFLNB/ARAP1/FLNA/S100A10/CAPZA2/TMSB4X/ARPC4/ARPC1A/TWF2/CORO7/MARCKS",65
"GO:0030041","BP","GO:0030041","actin filament polymerization","39/1355","182/18670",6.97222881024486e-10,6.97222881024486e-10,3.52933406909237e-07,"GAS7/CAPG/RHOA/CAPZB/PICK1/HCK/CORO1A/PYCARD/MTPN/PFN1/ARPC3/ACTR3/CAPZA1/PTK2B/NCKAP1L/PREX1/ARPC1B/SPIRE1/VILL/RAC1/DBNL/ACTR2/PSTPIP1/ARF1/PSTPIP2/CATIP/ARPC5/CDC42EP3/ARPC2/PRKCD/ARF6/GRB2/HCLS1/CAPZA2/TMSB4X/ARPC4/ARPC1A/TWF2/CORO7",39
"GO:0032970","BP","GO:0032970","regulation of actin filament-based process","63/1355","388/18670",1.21206409108475e-09,1.21206409108475e-09,5.52190882759452e-07,"CAPG/PKP2/RHOA/CDC42/WDR1/ARHGEF10L/CAPZB/SH3BP1/PICK1/MYH9/HCK/CORO1A/PYCARD/TGFB1/MTPN/LIMK1/PFN1/BST1/ARPC3/ARHGDIB/PDE4D/ACTR3/PLEK/CAPZA1/PROX1/RHOQ/PTK2B/NCKAP1L/LRP1/KCNJ2/PREX1/SDC4/ARPC1B/TRPM4/SPIRE1/VILL/RAC1/DBNL/ACTR2/ARHGDIA/ARF1/ARPC5/CDC42EP3/ATP1A1/ARPC2/PRKCD/CDK5/ARF6/ILK/CFL1/ATP2A2/RHOG/GRB2/HCLS1/FES/ARAP1/FLNA/S100A10/CAPZA2/TMSB4X/ARPC4/ARPC1A/TWF2",63
