"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042119","BP","GO:0042119","neutrophil activation","65/843","498/18670",1.06813247624682e-14,1.06813247624682e-14,3.15002006316871e-11,"TYROBP/CYBA/ACAA1/STXBP2/GSTP1/FTL/DYNLL1/UNC13D/ADA2/ARSA/DNAJC5/CST3/COTL1/CTSH/MAN2B1/RETN/CD33/VAT1/BST1/PTPN6/QPCT/LAMTOR2/VAMP8/NPC2/HVCN1/CD93/CFP/SIGLEC9/GMFG/ADGRE3/CD63/PSMB7/GSN/LAMTOR1/MS4A3/ADAM8/LPCAT1/CDA/S100A11/MNDA/PRKCD/S100P/B2M/RAB31/PTAFR/OSCAR/LRG1/CANT1/HSPA6/RHOG/CXCR2/ATP6AP2/PRG2/ATG7/NEU1/HSPA1B/HSPA1A/NFAM1/LILRA2/TICAM2/DDOST/TARM1/CLEC5A/PECAM1/CCL5",65
"GO:0002283","BP","GO:0002283","neutrophil activation involved in immune response","64/843","488/18670",1.37713716521412e-14,1.37713716521412e-14,3.15002006316871e-11,"TYROBP/CYBA/ACAA1/STXBP2/GSTP1/FTL/DYNLL1/UNC13D/ADA2/ARSA/DNAJC5/CST3/COTL1/CTSH/MAN2B1/RETN/CD33/VAT1/BST1/PTPN6/QPCT/LAMTOR2/VAMP8/NPC2/HVCN1/CD93/CFP/SIGLEC9/GMFG/ADGRE3/CD63/PSMB7/GSN/LAMTOR1/MS4A3/ADAM8/LPCAT1/CDA/S100A11/MNDA/PRKCD/S100P/B2M/RAB31/PTAFR/OSCAR/LRG1/CANT1/HSPA6/RHOG/CXCR2/ATP6AP2/PRG2/ATG7/NEU1/HSPA1B/HSPA1A/NFAM1/LILRA2/TICAM2/DDOST/TARM1/CLEC5A/PECAM1",64
"GO:0043312","BP","GO:0043312","neutrophil degranulation","63/843","485/18670",3.49964314134061e-14,3.49964314134061e-14,4.52478459814596e-11,"TYROBP/CYBA/ACAA1/STXBP2/GSTP1/FTL/DYNLL1/UNC13D/ADA2/ARSA/DNAJC5/CST3/COTL1/CTSH/MAN2B1/RETN/CD33/VAT1/BST1/PTPN6/QPCT/LAMTOR2/VAMP8/NPC2/HVCN1/CD93/CFP/SIGLEC9/GMFG/ADGRE3/CD63/PSMB7/GSN/LAMTOR1/MS4A3/ADAM8/LPCAT1/CDA/S100A11/MNDA/PRKCD/S100P/B2M/RAB31/PTAFR/OSCAR/LRG1/CANT1/HSPA6/RHOG/CXCR2/ATP6AP2/PRG2/ATG7/NEU1/HSPA1B/HSPA1A/NFAM1/TICAM2/DDOST/TARM1/CLEC5A/PECAM1",63
"GO:0002446","BP","GO:0002446","neutrophil mediated immunity","64/843","499/18670",3.9563233946053e-14,3.9563233946053e-14,4.52478459814596e-11,"TYROBP/CYBA/ACAA1/WDR1/STXBP2/GSTP1/FTL/DYNLL1/UNC13D/ADA2/ARSA/DNAJC5/CST3/COTL1/CTSH/MAN2B1/RETN/CD33/VAT1/BST1/PTPN6/QPCT/LAMTOR2/VAMP8/NPC2/HVCN1/CD93/CFP/SIGLEC9/GMFG/ADGRE3/CD63/PSMB7/GSN/LAMTOR1/MS4A3/ADAM8/LPCAT1/CDA/S100A11/MNDA/PRKCD/S100P/B2M/RAB31/PTAFR/OSCAR/LRG1/CANT1/HSPA6/RHOG/CXCR2/ATP6AP2/PRG2/ATG7/NEU1/HSPA1B/HSPA1A/NFAM1/TICAM2/DDOST/TARM1/CLEC5A/PECAM1",64
"GO:0019884","BP","GO:0019884","antigen processing and presentation of exogenous antigen","31/843","182/18670",1.60377602754872e-10,1.60377602754872e-10,1.46737065594247e-07,"PSMC4/CD74/AP2S1/CYBA/CAPZB/DYNLL1/NCF4/PSMA7/VAMP8/CLTA/PSMB7/DCTN3/AP1S3/CD1D/CD1B/NCF1/PSMD4/B2M/HLA-DRB1/HLA-DQA1/AP2A1/HLA-DRB5/PSMB8/HLA-DRA/HLA-C/HLA-A/HLA-DPB1/HLA-DPA1/HLA-B/HLA-DMB/PSMB3",31
"GO:0002478","BP","GO:0002478","antigen processing and presentation of exogenous peptide antigen","29/843","175/18670",1.21462766570556e-09,1.21462766570556e-09,9.26100321957254e-07,"PSMC4/CD74/AP2S1/CYBA/CAPZB/DYNLL1/NCF4/PSMA7/VAMP8/CLTA/PSMB7/DCTN3/AP1S3/NCF1/PSMD4/B2M/HLA-DRB1/HLA-DQA1/AP2A1/HLA-DRB5/PSMB8/HLA-DRA/HLA-C/HLA-A/HLA-DPB1/HLA-DPA1/HLA-B/HLA-DMB/PSMB3",29
"GO:0019882","BP","GO:0019882","antigen processing and presentation","33/843","226/18670",2.5482128435091e-09,2.5482128435091e-09,1.66534331096098e-06,"PSMC4/CD74/AP2S1/CYBA/CAPZB/DYNLL1/NCF4/PSMA7/CTSH/VAMP8/CLTA/PSMB7/CCL21/DCTN3/AP1S3/CD1D/CD1B/NCF1/PSMD4/B2M/HLA-DRB1/HLA-DQA1/AP2A1/HLA-DRB5/PSMB8/HLA-DRA/HLA-C/HLA-A/HLA-DPB1/HLA-DPA1/HLA-B/HLA-DMB/PSMB3",33
"GO:0048002","BP","GO:0048002","antigen processing and presentation of peptide antigen","29/843","189/18670",7.50618719138419e-09,7.50618719138419e-09,4.29235388602048e-06,"PSMC4/CD74/AP2S1/CYBA/CAPZB/DYNLL1/NCF4/PSMA7/VAMP8/CLTA/PSMB7/DCTN3/AP1S3/NCF1/PSMD4/B2M/HLA-DRB1/HLA-DQA1/AP2A1/HLA-DRB5/PSMB8/HLA-DRA/HLA-C/HLA-A/HLA-DPB1/HLA-DPA1/HLA-B/HLA-DMB/PSMB3",29
"GO:0046034","BP","GO:0046034","ATP metabolic process","34/843","304/18670",1.09184580052349e-06,1.09184580052349e-06,0.000554989689950302,"TIGAR/NDUFB7/TSPO/ABCD1/TGFB1/COX6A1/PFKFB4/ATP5F1E/NDUFA1/COX6B1/UQCR11/ATP5IF1/COX5B/NDUFB10/NDUFS6/NDUFB11/SLC2A6/FBP1/ATP5MG/ATP5PD/COA6/ATP5ME/NDUFA3/UQCRH/ZBTB7A/PRKAG1/NDUFB1/UQCR10/NDUFA6/HSPA1B/HSPA1A/TMSB4X/EIF6/CHCHD10",34
"GO:0006413","BP","GO:0006413","translational initiation","25/843","193/18670",2.1062213314956e-06,2.1062213314956e-06,0.000946040650103519,"RPL18/EIF3I/RPS16/RPL18A/RPL28/RPL19/EIF3G/RPLP1/RPS11/RPS8/RPL10/BANK1/RPL27A/POLR2G/RPS21/PPP1CA/EIF3F/RPLP2/EIF3K/RXRA/UBA52/TNF/RPS28/EIF6/CCL5",25
