"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016579","BP","GO:0016579","protein deubiquitination","37/1111","283/18670",5.63923823625357e-06,5.63923823625357e-06,0.0137891848463346,"ZRANB1/PSME4/UIMC1/PSMA3/USP14/TGFBR1/SMURF2/USP46/WDR48/INO80D/USP34/ENY2/STAMBP/APC/USP37/USP44/SMAD4/MINDY3/USP12/OTUD6B/USP25/USP16/BABAM2/USP24/MYSM1/ATXN7/OTUD4/FOXK1/AR/USP47/SMAD1/TAF9B/TRRAP/MDM4/USP17L15/USP17L5/USP17L13",37
"GO:0000209","BP","GO:0000209","protein polyubiquitination","39/1111","310/18670",8.04400420133531e-06,8.04400420133531e-06,0.0137891848463346,"ANKIB1/RNF216/UBR2/RNF19A/PSME4/NEDD4/KLHL20/HECTD1/PSMA3/UBR5/FBXL20/SMURF2/WSB1/FBXW7/FBXL4/LNPEP/RBBP6/WWP1/CDC16/RLIM/PELI2/NPEPPS/MARCHF6/FBXO38/RNF217/RNF144A/ANAPC1/LONRF1/AMFR/TRIM44/FBXO22/TRIM56/TNKS/TTC3/UBE2G2/ZNRF1/UBE2H/MARCHF5/UBE2V1",39
"GO:0070646","BP","GO:0070646","protein modification by small protein removal","38/1111","299/18670",8.26654960287205e-06,8.26654960287205e-06,0.0137891848463346,"ZRANB1/PSME4/UIMC1/PSMA3/USP14/TGFBR1/SMURF2/USP46/WDR48/INO80D/USP34/SENP5/ENY2/STAMBP/APC/USP37/USP44/SMAD4/MINDY3/USP12/OTUD6B/USP25/USP16/BABAM2/USP24/MYSM1/ATXN7/OTUD4/FOXK1/AR/USP47/SMAD1/TAF9B/TRRAP/MDM4/USP17L15/USP17L5/USP17L13",38
"GO:0007093","BP","GO:0007093","mitotic cell cycle checkpoint","25/1111","165/18670",1.50624007505527e-05,1.50624007505527e-05,0.0188438560968756,"MRE11/TPR/DLG1/CNOT4/PCBP4/MAP3K20/NBN/CASP2/TFDP2/ATF2/PLAGL1/CNOT1/APC/RINT1/USP44/CNOT6L/DONSON/TOPBP1/CRADD/NABP1/GEN1/KNTC1/MDM4/CNOT7/PRKDC",25
"GO:0000075","BP","GO:0000075","cell cycle checkpoint","29/1111","216/18670",3.43307310312045e-05,3.43307310312045e-05,0.034359641120494,"MRE11/TPR/DLG1/CNOT4/UIMC1/PCBP4/MAP3K20/WAC/NBN/CASP2/TFDP2/ATF2/PLAGL1/CNOT1/APC/RINT1/USP44/RNASEH2B/CNOT6L/BABAM2/DONSON/TOPBP1/CRADD/NABP1/GEN1/KNTC1/MDM4/CNOT7/PRKDC",29
"GO:0016570","BP","GO:0016570","histone modification","48/1111","454/18670",8.04597203629532e-05,8.04597203629532e-05,0.0489758897437221,"UBR2/KMT2C/ING3/KDM5A/BAZ2A/RIF1/KAT6A/NCOA1/UIMC1/WAC/FMR1/JADE3/SETD6/UBR5/MAPK8/KDM3A/ATF2/RLF/ENY2/EPC1/KDM3B/GTF3C4/ASH2L/ELP3/EPC2/KAT7/SMAD4/KANSL1L/DCAF1/HDAC8/NSD3/TADA1/USP16/PCGF6/PAXIP1/AUTS2/ELK4/PAXBP1/HLCS/MCM3AP/CHTOP/MYSM1/ATXN7/YEATS2/SIN3A/TAF9B/TRRAP/TRIM16",48
"GO:0072401","BP","GO:0072401","signal transduction involved in DNA integrity checkpoint","14/1111","73/18670",8.76113054725284e-05,8.76113054725284e-05,0.0489758897437221,"CNOT4/UIMC1/PCBP4/CASP2/TFDP2/PLAGL1/CNOT1/RINT1/CNOT6L/BABAM2/CRADD/MDM4/CNOT7/PRKDC",14
"GO:0072422","BP","GO:0072422","signal transduction involved in DNA damage checkpoint","14/1111","73/18670",8.76113054725284e-05,8.76113054725284e-05,0.0489758897437221,"CNOT4/UIMC1/PCBP4/CASP2/TFDP2/PLAGL1/CNOT1/RINT1/CNOT6L/BABAM2/CRADD/MDM4/CNOT7/PRKDC",14
"GO:0061014","BP","GO:0061014","positive regulation of mRNA catabolic process","11/1111","48/18670",9.28347697825331e-05,9.28347697825331e-05,0.0489758897437221,"TNRC6C/AGO2/CNOT1/ROCK2/CNOT6L/FTO/MOV10/DHX36/YTHDF3/NANOS3/CNOT7",11
"GO:0072395","BP","GO:0072395","signal transduction involved in cell cycle checkpoint","14/1111","74/18670",0.000102217426491289,0.000102217426491289,0.0489758897437221,"CNOT4/UIMC1/PCBP4/CASP2/TFDP2/PLAGL1/CNOT1/RINT1/CNOT6L/BABAM2/CRADD/MDM4/CNOT7/PRKDC",14
