gene_names	ID	CpG_logFC	Gene_logFC	Gene_P.value	AveExpr	Gene_log2_P.value
AAAS	12_53718188	"NA"	-0.07095201558341735	0.6527714205865606	17.317736788894948	0.6153501997725255
AAMP	2_219134749	"NA"	-0.01345529580908078	0.9251535236493058	17.158984781413604	0.11223530284845265
AATF	17_35302066	"NA"	-0.05002836908525321	0.7183549323565438	19.700189090333613	0.4772312527498809
ABCA10	17_67240575	"NA"	-0.11376276734671598	0.8068452720679914	1.5052417791865949	0.3096360590827817
ABCA2	9_139920814	"NA"	0.0887630148477081	0.8261563351792361	39.82128013581069	0.275513283404398
ABCA5	17_67240575	"NA"	-0.032476189260421506	0.9534615191455903	7.798789092741215	0.06875338105630706
ABCA9	17_67053971	DOWN	0.07794730985170517	0.9060962947791529	1.9586795208134165	0.14226371501534632
ABCB9	12_123455277	"NA"	0.01478749770588017	0.9587226034188976	4.437065165867511	0.060814648322819055
ABCD1	X_152987864	"NA"	0.11642954387597992	0.6487161343992833	12.590184638165045	0.624340773955532
ABCE1	4_146015816	"NA"	-0.07816230588002071	0.6912188721915435	29.285321599723726	0.53278548727391
ABCF1	6_30534753	"NA"	-0.11549631598811771	0.22760493857866676	26.453613728488243	2.135396233263723
ABCF3	3_183902355	"NA"	0.00695149237112247	0.9572944802011899	14.911753045148233	0.06296530416313412
ABHD10	3_111695488	DOWN	0.1472450605195963	0.45191587254584276	13.585500366195097	1.1458738655150331
ABHD16A	6_31643317	DOWN	-0.048865831769005386	0.6781522266725786	6.645342394049769	0.5603189394980134
ABHD16A	6_31661602	"NA"	-0.048865831769005386	0.6781522266725786	6.645342394049769	0.5603189394980134
ABHD16B	20_62486746	"NA"	-0.014067445096596742	0.8754755725592371	0.052500885897730186	0.19186116961436145
ABHD17A	19_1872080	"NA"	-0.19071803263100406	0.4188921494183414	17.529500694175105	1.2553492484040008
ABT1	6_26593067	"NA"	-0.2541797812259068	0.03216047243446422	9.65364471588062	4.958567590041077
ABTB2	11_34376256	"NA"	-0.42811190543186717	0.29084440945252077	7.094386121577485	1.7816805216227896
AC002066.1	7_116135054	"NA"	0	1	0	-0
AC002398.11	19_36230209	"NA"	0	1	0	-0
AC002398.11	19_36243528	DOWN	0	1	0	-0
