"","gene_names","ID.x","logFC.x","ID.y","logFC.y","AveExpr","t","P.Value","adj.P.Val","B","entrezgene_id"
"1","AAAS","12_53718188",NA,"ENSG00000094914",0.155481795127892,5.70346244841808,0.655239695570131,0.5144808053864,0.999867732204803,-5.88478632308885,8086
"2","AADACL4","1_12700924",NA,"ENSG00000204518",-0.538913430634232,-5.57279294698212,-1.45028231770551,0.151487054181941,0.999867732204803,-4.99303696072048,343066
"3","AARS2","6_44279450",NA,"ENSG00000124608",-0.252906539192643,4.82141378696544,-0.926204334089886,0.357551376256876,0.999867732204803,-5.55136461095114,57505
"4","AASDH","4_57252367",NA,"ENSG00000157426",-0.0757280235463798,4.83446322511115,-0.312943631896731,0.755262533608357,0.999867732204803,-5.92488045227783,132949
"5","AATF","17_35302066",NA,"ENSG00000275700",-0.252772223532157,5.96125646838394,-1.15137245572793,0.253532579245264,0.999867732204803,-5.44178895026408,26574
"6","ABCA2","9_139920814",NA,"ENSG00000107331",-0.446892214405274,7.36880289236171,-0.671585007004671,0.504078639902716,0.999867732204803,-5.96357144516563,20
"7","ABCA7","19_1036370",-0.355860938524273,"ENSG00000064687",-1.14406899438157,6.79576338146815,-1.52275738176856,0.132365892321858,0.999867732204803,-4.97258952646955,10347
"8","ABCB7","X_74371809",NA,"ENSG00000131269",-0.327660456107997,5.50504329384215,-1.55505694545739,0.124483911237529,0.999867732204803,-4.87810671007152,22
"9","ABCB9","12_123455277",NA,"ENSG00000150967",-0.102783123016329,2.97998631841941,-0.230307560134739,0.818530703831251,0.999867732204803,-5.75771547658798,23457
"10","ABCB9","12_123460861",NA,"ENSG00000150967",-0.102783123016329,2.97998631841941,-0.230307560134739,0.818530703831251,0.999867732204803,-5.75771547658798,23457
"11","ABCC3","17_48708886",NA,"ENSG00000108846",-0.574331620041182,1.69447881171046,-0.50340053092067,0.616277713175276,0.999867732204803,-5.4956501781183,8714
"12","ABCD1","X_152987864",0.30934758711051,"ENSG00000101986",0.0534618025358293,5.06583502682119,0.135331706686045,0.892741599470989,0.999867732204803,-6.00905084881501,215
"13","ABCD1","X_152987864",0.372294793505986,"ENSG00000101986",0.0534618025358293,5.06583502682119,0.135331706686045,0.892741599470989,0.999867732204803,-6.00905084881501,215
"14","ABCD3","1_94876094",NA,"ENSG00000117528",-0.741763390874794,5.50589185234149,-2.22246994600626,0.0295144637266173,0.908821441237828,-3.72351988558614,5825
"15","ABCE1","4_146015816",NA,"ENSG00000164163",-0.249292886048896,6.75417284240655,-0.802584854993467,0.42495627184573,0.999867732204803,-5.84903106614133,6059
"16","ABCF1","6_30544627",NA,"ENSG00000204574",-0.28979675264134,6.55078554773513,-1.92935729170764,0.057778235678636,0.999867732204803,-4.38561176576077,23
"17","ABCF1","6_30534753",NA,"ENSG00000204574",-0.28979675264134,6.55078554773513,-1.92935729170764,0.057778235678636,0.999867732204803,-4.38561176576077,23
"18","ABCF3","3_183902355",NA,"ENSG00000161204",-0.213853863614376,5.40429939398509,-1.04066935080106,0.30164304292835,0.999867732204803,-5.50354264286637,55324
"19","ABHD10","3_111695488",NA,"ENSG00000144827",0.217674102555304,5.21800614891165,0.7283306523555,0.468863081055628,0.999867732204803,-5.78577886403866,55347
"20","ABHD14A","3_52002602",NA,"ENSG00000248487",0.18533131955293,3.19301308506675,0.410684321390073,0.682570011225089,0.999867732204803,-5.75274061432109,25864
"21","ABHD14A-ACY1","3_52002602",NA,"ENSG00000114786",-0.861351716222284,-1.28153621139941,-1.42304820514544,0.159204625280677,0.999867732204803,-4.55430357897177,100526760
"22","ABHD14B","3_52002602",NA,"ENSG00000114779",0.223562038561814,6.09227150509709,0.797136562680661,0.428092099363078,0.999867732204803,-5.825821435341,84836
"23","ABHD16B","20_62486746",NA,"ENSG00000183260",0.0387335749545894,-5.8938504705689,0.277485680744605,0.782232592489633,0.999867732204803,-5.9614079757879,140701
"24","ABHD17B","9_74525103",NA,"ENSG00000107362",0.370322553595045,5.43697838420418,0.926892942274627,0.35719623531542,0.999867732204803,-5.67163242287386,51104
"25","ABHD4","14_23067560",NA,"ENSG00000100439",-0.303511350488979,5.4300751668334,-0.454214588058324,0.651092611710184,0.999867732204803,-5.94628247472612,63874
"26","ABHD4","14_23062238",NA,"ENSG00000100439",-0.303511350488979,5.4300751668334,-0.454214588058324,0.651092611710184,0.999867732204803,-5.94628247472612,63874
"27","ABT1","6_26593067",NA,"ENSG00000146109",0.106326502484945,4.53467106961705,0.611466256405344,0.542889947907864,0.999867732204803,-5.78724250050611,29777
"28","AC000003.1","17_9972695",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","AC002115.9","19_36099660",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","AC002128.5","19_35735664",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","AC002368.4","X_147579628",0.313664628536761,NA,NA,NA,NA,NA,NA,NA,NA
"32","AC002368.4","X_147579628",0.303370146130464,NA,NA,NA,NA,NA,NA,NA,NA
"33","AC002368.4","X_147579628",0.387667600478005,NA,NA,NA,NA,NA,NA,NA,NA
"34","AC002368.4","X_147579628",0.322653418220186,NA,NA,NA,NA,NA,NA,NA,NA
"35","AC002368.4","X_147579628",0.353110265962093,NA,NA,NA,NA,NA,NA,NA,NA
"36","AC002398.11","19_36230209",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","AC002398.11","19_36243528",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","AC002398.12","19_36243528",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","AC002398.9","19_36230209",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","AC002477.1","X_119054420",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","AC002511.1","19_35883528",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","AC002511.2","19_35903842",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","AC002979.1","12_111723835",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","AC003001.1","X_84497836",0.352736368104847,NA,NA,NA,NA,NA,NA,NA,NA
"45","AC003002.6","19_57900763",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","AC003005.2","19_57988589",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","AC003104.1","17_40422306",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","AC003666.1","X_10183841",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","AC003681.1","22_30333134",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","AC003682.16","19_58133460",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","AC003958.2","17_39556895",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","AC004076.7","19_57900763",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","AC004076.9","19_57963294",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","AC004076.9","19_57988589",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","AC004221.2","19_1232134",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","AC004231.2","17_39072966",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","AC004458.1","7_96097482",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","AC004485.3","7_24292338",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","AC004540.4","7_26414940",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","AC004706.1","17_6553364",0.403125039335311,NA,NA,NA,NA,NA,NA,NA,NA
"61","AC004840.8","7_2414681",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","AC004854.4","7_44884667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","AC004875.1","7_121209377",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","AC005037.1","2_201697328",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","AC005037.2","2_201697328",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","AC005037.3","2_201822381",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","AC005071.1","7_99800318",0.327360927363659,NA,NA,NA,NA,NA,NA,NA,NA
"68","AC005154.6","7_30632312",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","AC005329.7","19_1378482",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","AC005522.6","7_75982515",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","AC005609.1","5_140227249",-0.306694953891164,NA,NA,NA,NA,NA,NA,NA,NA
"72","AC005618.1","5_140699383",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","AC005754.7","5_140473932",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","AC005754.8","5_140498228",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","AC006042.6","7_8153167",NA,NA,NA,NA,NA,NA,NA,NA,NA
