"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006614","BP","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","11/314","105/18670",1.56320787633622e-06,1.56320787633622e-06,0.00295433196812571,"RPLP0/RPL21/RPS27A/RPL7A/RPL9/RPS14/RPS4X/RPL10A/RPS18/BHLHE40-AS1/RPL17",11
"GO:0006613","BP","GO:0006613","cotranslational protein targeting to membrane","11/314","109/18670",2.26820112715985e-06,2.26820112715985e-06,0.00295433196812571,"RPLP0/RPL21/RPS27A/RPL7A/RPL9/RPS14/RPS4X/RPL10A/RPS18/BHLHE40-AS1/RPL17",11
"GO:0045047","BP","GO:0045047","protein targeting to ER","11/314","118/18670",4.94666104801247e-06,4.94666104801247e-06,0.00356125712358435,"RPLP0/RPL21/RPS27A/RPL7A/RPL9/RPS14/RPS4X/RPL10A/RPS18/BHLHE40-AS1/RPL17",11
"GO:0000184","BP","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","11/314","120/18670",5.82454454683614e-06,5.82454454683614e-06,0.00356125712358435,"RPLP0/RPL21/RPS27A/PNLDC1/RPL7A/RPL9/RPS14/RPS4X/RPL10A/RPS18/RPL17",11
"GO:0072599","BP","GO:0072599","establishment of protein localization to endoplasmic reticulum","11/314","122/18670",6.83542634085288e-06,6.83542634085288e-06,0.00356125712358435,"RPLP0/RPL21/RPS27A/RPL7A/RPL9/RPS14/RPS4X/RPL10A/RPS18/BHLHE40-AS1/RPL17",11
"GO:0006413","BP","GO:0006413","translational initiation","13/314","193/18670",2.45648274053179e-05,2.45648274053179e-05,0.0106652292318089,"DHX33/RPLP0/RPL21/MIF4GD/RPS27A/RPL7A/RPL9/RPS14/EIF2S3B/RPS4X/RPL10A/RPS18/RPL17",13
"GO:0006612","BP","GO:0006612","protein targeting to membrane","13/314","202/18670",3.95632191723591e-05,3.95632191723591e-05,0.0129357952822572,"RPLP0/ARL6/RPL21/RPS27A/RPL7A/RPL9/ZDHHC19/RPS14/RPS4X/RPL10A/RPS18/BHLHE40-AS1/RPL17",13
"GO:0070972","BP","GO:0070972","protein localization to endoplasmic reticulum","11/314","147/18670",3.97260507708473e-05,3.97260507708473e-05,0.0129357952822572,"RPLP0/RPL21/RPS27A/RPL7A/RPL9/RPS14/RPS4X/RPL10A/RPS18/BHLHE40-AS1/RPL17",11
"GO:0000956","BP","GO:0000956","nuclear-transcribed mRNA catabolic process","12/314","207/18670",0.000209237606671801,0.000209237606671801,0.0546711760487962,"RPLP0/RPL21/RPS27A/PNLDC1/RPL7A/RPL9/RPS14/RPS4X/TTC37/RPL10A/RPS18/RPL17",12
"GO:0019083","BP","GO:0019083","viral transcription","11/314","177/18670",0.000209870157576953,0.000209870157576953,0.0546711760487962,"RPLP0/RPL21/RPS27A/RPL7A/RPL9/RPS14/POM121/RPS4X/RPL10A/RPS18/RPL17",11
