"","gene_names","ID","CpG_logFC","Gene_logFC","Gene_P.value","Gene_log2_P.value"
"1","AASDH","4_57252367","NA",0.1738279182169,0.312742378996764,1.67695336610789
"2","ABCE1","4_146015816","NA",0.139238432127881,0.520183283069892,0.942908058197169
"3","ABCF1","6_30534753","NA",-0.03641805107479,0.731452359893205,0.45116419140398
"4","ABCF1","6_30544627","NA",-0.03641805107479,0.731452359893205,0.45116419140398
"5","ABHD17B","9_74525103","NA",-0.0215161489129621,0.943572673800673,0.0837944566651232
"6","ABTB2","11_34376256","NA",0.22917627533711,0.592454061011144,0.755224803358935
"7","AC000403.1","13_77453998","NA",0,1,0
"8","AC003002.4","19_57874301","NA",0,1,0
"9","AC003002.6","19_57900763","NA",0,1,0
"10","AC003005.2","19_57988589","NA",0,1,0
"11","AC003006.7","19_58191038","NA",0,1,0
"12","AC003682.16","19_58133460","NA",0,1,0
"13","AC004076.7","19_57900763","NA",0,1,0
"14","AC004076.9","19_57988589","NA",0,1,0
"15","AC004076.9","19_57963294","NA",0,1,0
"16","AC004458.1","7_96097482","NA",0,1,0
"17","AC004540.4","7_26414940","NA",0,1,0
"18","AC004549.6","7_27772675","NA",0,1,0
"19","AC005154.6","7_30632312","NA",0,1,0
"20","AC005154.6","7_30621402","NA",0,1,0
"21","AC005329.7","19_1378482","NA",0,1,0
"22","AC005498.3","19_57042433","NA",0,1,0
"23","AC005498.4","19_57042433","NA",0,1,0
"24","AC005789.11","19_38877104","DOWN",0,1,0
"25","AC006116.1","19_56901262","NA",0,1,0
"26","AC006994.2","2_211030130","NA",0,1,0
"27","AC006994.3","2_211030130","NA",0,1,0
"28","AC007038.7","2_210893932","NA",0,1,0
"29","AC007041.1","2_20549888","NA",0,1,0
"30","AC007228.11","19_57074833","NA",0,1,0
"31","AC007285.6","7_30020860","UP",0,1,0
"32","AC007285.6","7_30020860","UP",0,1,0
"33","AC007375.1","14_77602082","DOWN",0,1,0
"34","AC007383.3","2_206947984","NA",0,1,0
"35","AC007421.1","17_7516998","NA",0,1,0
"36","AC007879.5","2_208392966","NA",0,1,0
"37","AC008060.8","7_155247684","NA",0,1,0
"38","AC008074.3","2_64676041","NA",0,1,0
"39","AC008074.5","2_64676041","NA",0,1,0
"40","AC010127.3","2_166809901","NA",0,1,0
"41","AC010468.2","5_110603795","NA",0,1,0
"42","AC010894.5","2_175434504","NA",0,1,0
"43","AC010974.3","2_133415643","NA",0,1,0
"44","AC010980.2","2_223182946","NA",0,1,0
"45","AC012047.1","10_77883554","NA",0,1,0
"46","AC016697.2","2_209129299","NA",0,1,0
"47","AC067968.3","19_44529346","NA",0,1,0
"48","AC068039.4","2_172626475","NA",0,1,0
"49","AC072062.1","2_215670462","NA",0,1,0
"50","AC074138.3","19_37177995","NA",0,1,0
"51","AC078883.4","2_173282693","UP",0,1,0
"52","AC079145.4","2_20184602","NA",0,1,0
"53","AC079305.10","2_178125221","NA",0,1,0
"54","AC079610.2","2_214147251","NA",0,1,0
"55","AC079753.1","2_113594484","NA",0,1,0
"56","AC084219.3","19_44594366","NA",0,1,0
"57","AC084219.4","19_44616755","NA",0,1,0
"58","AC084368.1","7_95932648","NA",0,1,0
"59","AC091177.1","17_29283181","NA",0,1,0
"60","AC091705.2","7_25608722","NA",0,1,0
"61","AC092295.4","19_37017641","NA",0,1,0
"62","AC092295.7","19_37061433","NA",0,1,0
"63","AC092573.2","2_174217350","NA",0,1,0
"64","AC093602.1","4_139935712","NA",0,1,0
"65","AC093700.1","4_159919519","NA",0,1,0
"66","AC096649.1","2_176038152","NA",0,1,0
"67","AC096649.2","2_176031379","NA",0,1,0
"68","AC098820.2","2_217270739","NA",0,1,0
"69","AC098820.3","2_217362391","NA",0,1,0
"70","AC098820.4","2_217344416","NA",0,1,0
"71","AC104801.1","2_172966044","NA",0,1,0
"72","AC105247.1","18_20711775","UP",0,1,0
"73","AC107020.1","12_129149066","NA",0,1,0
"74","AC113189.5","17_7477838","NA",0,1,0
"75","AC114803.3","2_220160298","NA",0,1,0
"76","AC142293.3","4_75513396","NA",0,1,0
"77","AC142528.1","2_3517384","NA",0,1,0
"78","AC226150.4","12_133786908","NA",0,1,0
"79","ACP6","1_147138865","NA",0.266250859403558,0.712261251870474,0.489521587338568
"80","ACSL5","10_114166350","NA",-0.177151810603601,0.282743948066557,1.82243195020474
"81","ACTG2","2_74117980","NA",-0.127445328003138,0.800765086304901,0.320549021453759
"82","ACTN4","19_39135953","NA",0.0172066828007775,0.931523072409356,0.102336591916554
"83","ADAMTS16","5_5138726","UP",0.0987272511444874,0.834542843106091,0.260941979451553
"84","ADCY4","14_24800814","NA",-0.064718692839282,0.900015960298647,0.151977509401111
"85","ADI1","2_3517384","NA",-0.114082465081631,0.572381544061832,0.804950940502264
"86","ADRM1","20_60871672","DOWN",0.257553950977274,0.417266627515636,1.260958554691
"87","AFTPH","2_64750059","NA",0.120250615985452,0.436090514664517,1.19730048395715
"88","AGPAT1","6_32097279","UP",-0.130420285726871,0.468483371936994,1.09393025223185
"89","AGPAT1","6_32144835","NA",-0.130420285726871,0.468483371936994,1.09393025223185
"90","AGPAT1","6_32097279","UP",-0.130420285726871,0.468483371936994,1.09393025223185
"91","AGPAT1","6_32097279","UP",-0.130420285726871,0.468483371936994,1.09393025223185
"92","AGPAT9","4_84447588","UP",0,1,0
"93","AK3","9_4731566","NA",-0.112048399200976,0.555608040738069,0.847860616790163
"94","AK4","1_65610395","UP",0.616513125021898,0.41359715102969,1.27370184687836
"95","AL157871.1","14_100788214","NA",0,1,0
"96","AL161652.1","10_94195880","NA",0,1,0
"97","AL161668.5","14_21491665","NA",0,1,0
"98","AL163636.6","14_21148274","NA",0,1,0
"99","AL360181.1","10_135181737","UP",0,1,0
"100","AL662800.1","6_30582511","NA",0,1,0
"101","AL662800.2","6_30612762","NA",0,1,0
"102","AL731568.1","10_77582893","NA",0,1,0
"103","AL928654.1","14_105843910","NA",0,1,0
"104","ALOXE3","17_8020450","NA",-0.548352700869668,0.38345303161694,1.38287821912293
"105","AMDHD1","12_96336872","NA",0.390619682331915,0.463015259863756,1.11086835287707
"106","ANAPC10","4_146015816","NA",-0.0378021506733059,0.833717070940162,0.262370219135259
"107","ANG","14_21148274","NA",-0.326765205333795,0.615186379438471,0.700904533288054
"108","ANKRD32","5_93953646","NA",0,1,0
"109","ANKRD33","12_52280807","NA",-0.636271035525182,0.100613767276666,3.31310036804588
"110","ANKRD46","8_101569346","NA",0.0454168919505142,0.84167450718317,0.248665673543941
"111","AOC1","7_150512976","NA",0.0441957000538958,0.962200812897909,0.0555900766319675
"112","AP000230.1","21_27540932","NA",0,1,0
"113","AP000783.1","11_123298708","UP",0,1,0
"114","AP001092.4","11_64402706","NA",0,1,0
"115","AP001187.1","11_64655001","NA",0,1,0
"116","AP003068.12","11_64881678","NA",0,1,0
"117","AP003068.9","11_64870012","NA",0,1,0
"118","AP1G2","14_24019414","NA",0.110353923466131,0.643134328132083,0.636807997629367
"119","APAF1","12_99035902","NA",0.0402176604165296,0.859012894578407,0.219248307173569
"120","APC","5_112042372","NA",-0.0762431820016758,0.754858143538951,0.40572254295506
"121","APOM","6_31617298","NA",0.0587060894664306,0.753280334857549,0.408741228073472
"122","APOM","6_31620282","NA",0.0587060894664306,0.753280334857549,0.408741228073472
"123","APP","21_27540932","NA",-1.69488217550114,0.13554818209731,2.88312233026786
"124","ARHGEF40","14_21531966","NA",-0.175055505467062,0.69441205492016,0.526136101853567
"125","ARL14EP","11_30341009","NA",-0.141822780428056,0.548021501670556,0.8676955963276
"126","ARL2","11_64774360","NA",-0.0369303443788986,0.902591720549587,0.14785455008041
"127","ARL4C","2_235397099","NA",-0.436649851806495,0.376741114118825,1.40835461031811
"128","ARL5C","17_37320807","NA",-0.0981722184892404,0.910340054564288,0.135522534859512
"129","ARMCX5","X_101849747","NA",-0.0781151411307381,0.674220338867043,0.568707945850569
"130","ARSG","17_66283756","NA",-0.766518057137574,0.140346658440732,2.83293338022378
"131","ARSK","5_94884302","NA",0.396485550440738,0.122300825274304,3.03149395582069
"132","ATAT1","6_30582511","NA",0.236562551559866,0.295758187617823,1.75750998694063
"133","ATF2","2_176031379","NA",0.0910934347458445,0.500600353595963,0.998268784822039
"134","ATF6B","6_32079135","NA",0.0774902121295318,0.599497389292623,0.738174623921404
"135","ATIC","2_216172445","NA",0.180583230355934,0.340428054140402,1.55457816273568
"136","ATP5G3","2_176038152","NA",0,1,0
"137","ATP6V1C1","8_104022187","NA",-0.0132046970697601,0.94112931548685,0.0875351253940096
"138","ATP6V1E1","22_18107775","NA",-0.13038746348904,0.394764759316563,1.34093488885313
"139","AURKA","20_54962085","NA",-0.00833447398523424,0.980063444950149,0.0290529489735905
"140","AURKC","19_57733025","NA",0.548341250457885,0.117100458847539,3.09418136596735
