gene_names	ID	CpG_logFC	Gene_logFC	Gene_P.value	Gene_log2_P.value
AAAS	12_53718188	"NA"	0.15548179512789062	0.5144808053864045	0.9588108418505586
AADACL4	1_12700924	"NA"	-0.5389134306342331	0.15148705418193986	2.722733586110186
AARS2	6_44279450	"NA"	-0.25290653919264106	0.35755137625687927	1.4837775384631202
AASDH	4_57252367	"NA"	-0.07572802354638153	0.7552625336083518	0.4049498741604612
AATF	17_35302066	"NA"	-0.252772223532161	0.253532579245256	1.9797569476763572
ABCA2	9_139920814	"NA"	-0.44689221440526783	0.5040786399027231	0.9882792727743923
ABCA7	19_1036370	DOWN	-1.1440689943815796	0.13236589232185667	2.917396674534742
ABCB7	X_74371809	"NA"	-0.3276604561079939	0.12448391123753196	3.0059687998045397
ABCB9	12_123455277	"NA"	-0.10278312301632875	0.8185307038312513	0.2888915603696373
ABCB9	12_123460861	"NA"	-0.10278312301632875	0.8185307038312513	0.2888915603696373
ABCC3	17_48708886	"NA"	-0.5743316200411845	0.6162777131752741	0.6983474758932655
ABCD1	X_152987864	UP	0.05346180253582755	0.8927415994709924	0.16368544149866
ABCD1	X_152987864	UP	0.05346180253582755	0.8927415994709924	0.16368544149866
ABCD3	1_94876094	"NA"	-0.7417633908747954	0.029514463726617184	5.082434061303788
ABCE1	4_146015816	"NA"	-0.2492928860488952	0.4249562718457326	1.2346136998417376
ABCF1	6_30544627	"NA"	-0.28979675264133675	0.05777823567863929	4.1133300394641
ABCF1	6_30534753	"NA"	-0.28979675264133675	0.05777823567863929	4.1133300394641
ABCF3	3_183902355	"NA"	-0.21385386361436876	0.3016430429283659	1.7290857863452196
ABHD10	3_111695488	"NA"	0.2176741025553044	0.4688630810556288	1.0927614112112212
ABHD14A	3_52002602	"NA"	0.18533131955293225	0.6825700112250858	0.5509510639947615
ABHD14A-ACY1	3_52002602	"NA"	-0.861351716222283	0.15920462528067741	2.651045844605276
ABHD14B	3_52002602	"NA"	0.22356203856181445	0.428092099363078	1.224006884708489
ABHD16B	20_62486746	"NA"	0.03873357495459118	0.7822325924896228	0.35433044625763566
ABHD17B	9_74525103	"NA"	0.3703225535950416	0.3571962353154239	1.4852112196924763
ABHD4	14_23067560	"NA"	-0.3035113504889777	0.6510926117101848	0.6190653272995923
ABHD4	14_23062238	"NA"	-0.3035113504889777	0.6510926117101848	0.6190653272995923
ABT1	6_26593067	"NA"	0.10632650248494535	0.5428899479078643	0.8812683235597374
AC000003.1	17_9972695	"NA"	0	1	-0
AC002115.9	19_36099660	"NA"	0	1	-0
AC002128.5	19_35735664	"NA"	0	1	-0
AC002368.4	X_147579628	UP	0	1	-0
AC002368.4	X_147579628	UP	0	1	-0
AC002368.4	X_147579628	UP	0	1	-0
AC002368.4	X_147579628	UP	0	1	-0
AC002368.4	X_147579628	UP	0	1	-0
AC002398.11	19_36230209	"NA"	0	1	-0
AC002398.11	19_36243528	"NA"	0	1	-0
AC002398.12	19_36243528	"NA"	0	1	-0
AC002398.9	19_36230209	"NA"	0	1	-0
AC002477.1	X_119054420	"NA"	0	1	-0
AC002511.1	19_35883528	"NA"	0	1	-0
AC002511.2	19_35903842	"NA"	0	1	-0
AC002979.1	12_111723835	"NA"	0	1	-0
AC003001.1	X_84497836	UP	0	1	-0
AC003002.6	19_57900763	"NA"	0	1	-0
AC003005.2	19_57988589	"NA"	0	1	-0
AC003104.1	17_40422306	"NA"	0	1	-0
AC003666.1	X_10183841	"NA"	0	1	-0
AC003681.1	22_30333134	"NA"	0	1	-0
