from	to	ver[el[, 1], ]	ver2[el[, 2], ]
1	279	1_850619	1_831895
2	1	1_1160798	1_850619
2	2324	1_1160798	1_903641
2	2325	1_1160798	1_927395
2	2326	1_1160798	1_1239426
2	2327	1_1160798	1_1309969
4	2328	1_24102972	1_24283735
4	2329	1_24102972	1_24292785
5	314	1_32661814	1_32573374
5	316	1_32661814	1_32671968
5	318	1_32661814	1_32787407
5	319	1_32661814	1_32794627
5	320	1_32661814	1_32814703
5	321	1_32661814	1_32825454
5	322	1_32661814	1_32860268
6	314	1_32716766	1_32573374
6	317	1_32716766	1_32753663
6	318	1_32716766	1_32787407
6	319	1_32716766	1_32794627
6	320	1_32716766	1_32814703
6	321	1_32716766	1_32825454
6	322	1_32716766	1_32860268
7	328	1_38269910	1_38156332
7	329	1_38269910	1_38324477
7	2330	1_38269910	1_38469208
9	10	1_44102900	1_44395544
10	333	1_44395544	1_43976174
10	334	1_44395544	1_44160990
10	335	1_44395544	1_44172750
10	336	1_44395544	1_44176456
10	337	1_44395544	1_44190395
11	2331	1_65885295	1_62901316
11	347	1_65885295	1_63247446
11	2332	1_65885295	1_63826788
11	2333	1_65885295	1_63985757
11	2334	1_65885295	1_64056350
11	2335	1_65885295	1_65418968
11	2336	1_65885295	1_65521436
11	2337	1_65885295	1_65610395
11	348	1_65885295	1_65712412
11	351	1_65885295	1_68149975
11	354	1_65885295	1_71546573
12	2338	1_74660238	1_71530008
12	354	1_74660238	1_71546573
12	2339	1_74660238	1_72746687
12	2340	1_74660238	1_75194205
12	355	1_74660238	1_76187495
12	2341	1_74660238	1_76257150
14	2342	1_117602664	1_113161259
14	2343	1_117602664	1_113246774
14	2344	1_117602664	1_113931665
14	2345	1_117602664	1_114444643
14	2346	1_117602664	1_114470859
14	2347	1_117602664	1_115051914
14	2348	1_117602664	1_115258854
14	2349	1_117602664	1_115298294
14	2350	1_117602664	1_115624407
14	2351	1_117602664	1_116183788
14	2352	1_117602664	1_116513092
14	2353	1_117602664	1_116556336
14	2354	1_117602664	1_116653135
14	362	1_117602664	1_116914319
14	363	1_117602664	1_116960374
14	364	1_117602664	1_117109278
14	365	1_117602664	1_117208345
14	366	1_117602664	1_117212042
14	367	1_117602664	1_117222261
14	368	1_117602664	1_117292351
14	2355	1_117602664	1_117446540
14	2356	1_117602664	1_117450148
14	2357	1_117602664	1_117542531
14	2358	1_117602664	1_117637164
14	2359	1_117602664	1_117662394
14	2360	1_117602664	1_117904560
14	369	1_117602664	1_118143091
14	2361	1_117602664	1_118224805
14	370	1_117602664	1_118471117
15	2362	1_145714349	1_145411681
17	16	1_150252819	1_150227107
17	2363	1_150252819	1_150989821
18	386	1_151687246	1_151333183
18	387	1_151687246	1_151368335
18	388	1_151687246	1_151427825
18	389	1_151687246	1_151478606
18	390	1_151687246	1_151496436
18	391	1_151687246	1_151512436
18	392	1_151687246	1_151516084
18	393	1_151687246	1_151583021
18	395	1_151687246	1_151672272
18	396	1_151687246	1_151793294
18	397	1_151687246	1_151812040
18	2364	1_151687246	1_151821743
19	408	1_155145634	1_155036065
20	411	1_156595211	1_156336818
20	2365	1_156595211	1_156380226
20	412	1_156595211	1_156393868
20	414	1_156595211	1_156622326
20	2366	1_156595211	1_156682729
20	417	1_156595211	1_156828053
20	2367	1_156595211	1_156881919
22	448	1_180119332	1_179679177
22	2368	1_180119332	1_179785944
22	449	1_180119332	1_179834057
22	450	1_180119332	1_179841501
22	451	1_180119332	1_179850507
22	2369	1_180119332	1_180471076
24	2370	1_204132773	1_203459656
24	2371	1_204132773	1_203825444
24	456	1_204132773	1_204176179
24	457	1_204132773	1_204324423
24	2372	1_204132773	1_204378332
24	2373	1_204132773	1_204462957
24	2374	1_204132773	1_205024895
25	2375	1_207142387	1_206639384
25	459	1_207142387	1_206667457
25	2376	1_207142387	1_206680498
25	460	1_207142387	1_206784719
25	461	1_207142387	1_206808181
25	462	1_207142387	1_206846623
25	2377	1_207142387	1_206935048
25	463	1_207142387	1_206945005
25	464	1_207142387	1_206971832
26	468	1_207275723	1_207491500
26	469	1_207275723	1_207626422
26	470	1_207275723	1_207659875
27	2378	1_207974023	1_207226202
27	473	1_207974023	1_208039189
27	28	1_207974023	1_208081978
27	2379	1_207974023	1_208131639
28	2379	1_208081978	1_208131639
29	2380	1_217305462	1_217956905
30	454	1_217804009	1_192774793
30	476	1_217804009	1_214775801
30	477	1_217804009	1_218450627
30	2381	1_217804009	1_218516401
30	478	1_217804009	1_219345885
30	480	1_217804009	1_220443630
30	485	1_217804009	1_241682071
30	486	1_217804009	1_241798766
31	2382	1_236011529	1_236022691
31	2383	1_236011529	1_236684384
32	489	1_247161253	1_247264297
34	520	10_76582604	10_75910275
34	521	10_76582604	10_76781131
34	2384	10_76582604	10_76784440
35	2385	10_90609590	10_89620815
35	2386	10_90609590	10_90344819
35	2387	10_90609590	10_90691239
35	2388	10_90609590	10_90818582
35	2389	10_90609590	10_90963423
37	517	10_101287801	10_22632573
37	528	10_101287801	10_101189732
37	529	10_101287801	10_101190466
37	2390	10_101287801	10_124889208
37	554	10_101287801	10_124889679
37	555	10_101287801	10_124906363
38	529	10_101292229	10_101190466
38	2390	10_101292229	10_124889208
38	554	10_101292229	10_124889679
38	555	10_101292229	10_124906363
39	537	10_103997528	10_104152443
40	545	10_112395637	10_112061091
41	2391	10_114706031	10_114433681
43	2392	10_124218810	10_124103850
43	2393	10_124218810	10_124226750
44	553	10_124636825	10_124767028
45	565	11_312307	11_355508
46	580	11_16628042	11_20179621
46	584	11_16628042	11_31826234
46	585	11_16628042	11_31835029
48	2394	11_27061199	11_27015006
48	2395	11_27061199	11_27743135
49	2396	11_43941581	11_43595728
50	601	11_47280814	11_47189560
50	606	11_47280814	11_47424725
50	608	11_47280814	11_47455992
52	2397	11_55605574	11_55576650
52	2398	11_55605574	11_55895738
52	2399	11_55605574	11_56017532
54	629	11_74165579	11_73961551
55	2400	11_76376030	11_76088551
57	674	11_128559233	11_128395636
58	679	11_134140117	11_133825146
58	2401	11_134140117	11_134040846
58	680	11_134140117	11_134090389
58	682	11_134140117	11_134198546
59	683	12_738670	12_857252
59	2402	12_738670	12_889721
59	2403	12_738670	12_1095909
60	686	12_8183962	12_8085148
61	688	12_10322244	12_9755784
61	691	12_10322244	12_9883777
61	692	12_10322244	12_9911472
61	693	12_10322244	12_9974481
61	694	12_10322244	12_10016512
61	695	12_10322244	12_10022068
61	2404	12_10322244	12_10162449
61	696	12_10322244	12_10165162
61	697	12_10322244	12_10180825
61	2405	12_10322244	12_10328655
61	700	12_10322244	12_10824901
61	705	12_10322244	12_12864726
61	708	12_10322244	12_13152284
62	709	12_14925728	12_14391283
62	710	12_14925728	12_14514454
62	712	12_14925728	12_14955938
62	713	12_14925728	12_15091243
62	714	12_14925728	12_15112851
62	715	12_14925728	12_15124372
62	716	12_14925728	12_16061598
62	802	12_14925728	12_72056566
63	2406	12_22090571	12_21910202
64	724	12_29529425	12_28342751
64	725	12_29529425	12_29271096
64	727	12_29529425	12_30846016
64	728	12_29529425	12_30906902
64	729	12_29529425	12_31453215
64	730	12_29529425	12_31476368
64	731	12_29529425	12_31479638
64	737	12_29529425	12_32903689
64	2407	12_29529425	12_64172643
64	802	12_29529425	12_72056566
66	741	12_46660473	12_48099114
67	2408	12_54362426	12_54438744
67	753	12_54362426	12_54580445
68	758	12_56116659	12_56113720
68	763	12_56116659	12_56434788
69	760	12_56236275	12_56320429
70	2409	12_57872772	12_56915351
70	2410	12_57872772	12_57022867
70	2411	12_57872772	12_57120670
70	2412	12_57872772	12_57602914
70	777	12_57872772	12_57847046
70	2413	12_57872772	12_57896072
70	2414	12_57872772	12_57910127
70	779	12_57872772	12_57938678
70	780	12_57872772	12_57981696
